,Address,Latitude,Longitude
0,"21150 Rainbow Dr, Cupertino, CA 95014, USA",37.300801,-122.0441244
2,"21111 Rainbow Dr #4982, Cupertino, CA 95014, USA",37.3011458,-122.0437659
4,"20704 Acadia Ct, Cupertino, CA 95014, USA",37.3307432,-122.0364491
6,"20694 Acadia Ct, Cupertino, CA 95014, USA",37.3307466,-122.0362041
7,"20705 Acadia Ct, Cupertino, CA 95014, USA",37.3312083,-122.0361987
8,"Campus Dr, Cupertino, CA 95014, USA",37.3196675,-122.0433262
9,"8X94+WP Cupertino, CA, USA",37.3197675,-122.0432262
11,"8X94+XQ Cupertino, CA, USA",37.3199675,-122.0430262
12,"21520 Addington Ct, Cupertino, CA 95014, USA",37.3037147,-122.0512727
14,"21525 Addington Ct, Cupertino, CA 95014, USA",37.304058,-122.0510063
16,"10110 Adelheid Ct, Cupertino, CA 95014, USA",37.3201201,-122.0622383
17,"22146 Dean Ct, Cupertino, CA 95014, USA",37.3203857,-122.0621051
18,"22136 Dean Ct, Cupertino, CA 95014, USA",37.3203883,-122.0619719
20,"10116 Adriana Ave, Cupertino, CA 95014, USA",37.32443749999999,-122.05478
21,"10132 Adriana Ave, Cupertino, CA 95014, USA",37.3246494,-122.0548244
23,"10148 Adriana Ave, Cupertino, CA 95014, USA",37.3248871,-122.0547904
24,"22685 Alcalde Rd, Cupertino, CA 95014, USA",37.31598839999999,-122.0712837
25,"22655 Alcalde Rd, Cupertino, CA 95014, USA",37.3160333,-122.071202
26,"22641 Alcalde Rd, Cupertino, CA 95014, USA",37.3160532,-122.0709167
27,"10449 Merriman Rd, Cupertino, CA 95014, USA",37.3163053,-122.0708279
28,"10361 Orange Ave, Cupertino, CA 95014, USA",37.3175337,-122.0557567
30,"10350 Orange Ave, Cupertino, CA 95014, USA",37.3177295,-122.0553571
31,"10340 Orange Ave, Cupertino, CA 95014, USA",37.3178555,-122.0553127
32,"10804 Alderbrook Ln, Cupertino, CA 95014, USA",37.3113788,-122.0174588
33,"10792 Alderbrook Ln, Cupertino, CA 95014, USA",37.3115546,-122.0174366
34,"931 Blazingwood Ave, Cupertino, CA 95014, USA",37.3114605,-122.0171257
35,"925 Blazingwood Ave, Cupertino, CA 95014, USA",37.3116241,-122.0170813
36,"10160 Empire Ave, Cupertino, CA 95014, USA",37.32514,-122.0515798
37,"10164 Empire Ave, Cupertino, CA 95014, USA",37.3252777,-122.0516317
38,"10183 Alhambra Ave, Cupertino, CA 95014, USA",37.3254276,-122.0515516
40,"10444 Alicia Ct, Cupertino, CA 95014, USA",37.3163621,-122.072935
41,"10434 Alicia Ct, Cupertino, CA 95014, USA",37.3165369,-122.0729719
42,"10445 Lockwood Dr, Cupertino, CA 95014, USA",37.3166701,-122.0726035
44,"10322 Alpine Dr, Cupertino, CA 95014, USA",37.327743,-122.0672748
46,"10367 Vista Knoll Blvd, Cupertino, CA 95014, USA",37.32813489999999,-122.0670013
48,"20803 Alves Dr, Cupertino, CA 95014, USA",37.3252582,-122.0381582
52,"10073 Amador Oak Ct, Cupertino, CA 95014, USA",37.3238941,-122.0706877
53,"10083 Amador Oak Ct, Cupertino, CA 95014, USA",37.3239629,-122.0706889
54,"10112 Amador Oak Ct, Cupertino, CA 95014, USA",37.3240857,-122.0703408
55,"10132 Amador Oak Ct, Cupertino, CA 95014, USA",37.3242149,-122.0703454
56,"23800 Amapolo Ct, Cupertino, CA 95014, USA",37.3395503,-122.0895587
60,"10168 Amelia Ct, Cupertino, CA 95014, USA",37.3253816,-122.0633126
61,"10170 Amelia Ct, Cupertino, CA 95014, USA",37.325382,-122.063313
63,"22220 Varian Way, Cupertino, CA 95014, USA",37.325704,-122.062628
64,"19682 Amherst Dr, Cupertino, CA 95014, USA",37.3265,-122.0176364
66,"19681 Amherst Dr, Cupertino, CA 95014, USA",37.3268661,-122.017481
68,"10386 Amistad Ct, Cupertino, CA 95014, USA",37.3173942,-122.0739352
69,"10376 Amistad Ct, Cupertino, CA 95014, USA",37.3175712,-122.0738464
71,"10375 Melissa Ct, Cupertino, CA 95014, USA",37.3176664,-122.0734691
72,"21356 Amulet Dr, Cupertino, CA 95014, USA",37.3321325,-122.0480175
73,"21336 Amulet Dr, Cupertino, CA 95014, USA",37.3321927,-122.0478201
76,"10686 Amulet Pl, Cupertino, CA 95014, USA",37.3327923,-122.0488086
78,"10685 Grapnel Pl, Cupertino, CA 95014, USA",37.3329188,-122.0484807
79,"10705 Grapnel Pl, Cupertino, CA 95014, USA",37.3331235,-122.04852
80,"10410 Ann Arbor Ave, Cupertino, CA 95014, USA",37.3289095,-122.04519
82,"21180 Grenola Dr, Cupertino, CA 95014, USA",37.3289135,-122.0449902
83,"21151 Grenola Dr, Cupertino, CA 95014, USA",37.3293198,-122.0447016
84,"10294 Ann Arbor Ct, Cupertino, CA 95014, USA",37.3272427,-122.045588
86,"10314 Ann Arbor Ave, Cupertino, CA 95014, USA",37.3275729,-122.0451552
88,"19146 Anne Ln, Cupertino, CA 95014, USA",37.3212905,-122.0074436
90,"19132 Anne Ln, Cupertino, CA 95014, USA",37.3212957,-122.0071771
91,"19133 Anne Ln, Cupertino, CA 95014, USA",37.3217699,-122.0071565
92,"237 Annette Way, Cupertino, CA 95014, USA",37.306818,-122.0342934
95,"7375 Rollingdell Dr, Cupertino, CA 95014, USA",37.307021,-122.03358
96,"10440 Anson Ave, Cupertino, CA 95014, USA",37.3292455,-122.0496666
97,"10446 Anson Ave, Cupertino, CA 95014, USA",37.329258,-122.049602
98,"10466 Anson Ave, Cupertino, CA 95014, USA",37.3294709,-122.0496743
99,"10485 Brewer Ave, Cupertino, CA 95014, USA",37.3296545,-122.0492526
100,"10230 Anthony Pl, Cupertino, CA 95014, USA",37.3259922,-122.0720708
101,"10240 Anthony Pl, Cupertino, CA 95014, USA",37.3261254,-122.0718992
103,"10250 Anthony Pl, Cupertino, CA 95014, USA",37.326304,-122.0718064
104,"20305 Clifden Way, Cupertino, CA 95014, USA",37.3136242,-122.0287608
106,"20303 Clifden Way, Cupertino, CA 95014, USA",37.3136174,-122.0284722
107,"20298 Clay St, Cupertino, CA 95014, USA",37.3140681,-122.0284722
108,"21163 Patriot Way, Cupertino, CA 95014, USA",37.3241832,-122.0440755
109,"21153 Patriot Way, Cupertino, CA 95014, USA",37.3242255,-122.0439426
110,"10085 Congress Pl, Cupertino, CA 95014, USA",37.324452,-122.0439709
111,"10084 Congress Pl, Cupertino, CA 95014, USA",37.3244395,-122.0436868
112,"10446 Prune Tree Ln, Cupertino, CA 95014, USA",37.3293789,-122.0247658
114,"20095 Apple Tree Ln, Cupertino, CA 95014, USA",37.3297469,-122.0246321
115,"20075 Apple Tree Ln, Cupertino, CA 95014, USA",37.3297837,-122.0243477
116,"10544 N Blaney Ave, Cupertino, CA 95014, USA",37.331134,-122.0224368
117,"10544 Apricot Ct, Cupertino, CA 95014, USA",37.3311502,-122.0224494
118,"10554 N Blaney Ave, Cupertino, CA 95014, USA",37.3313851,-122.0223452
119,"10561 Cypress Ct, Cupertino, CA 95014, USA",37.3314525,-122.0219633
