,Address,Latitude,Longitude
0,"4025 Mowry Ave, Fremont, CA 94538, USA",37.54856669999999,-121.9887911
3,"2482 Abaca Way, Fremont, CA 94539, USA",37.5394256,-121.9520824
4,"2462 Abaca Way, Fremont, CA 94539, USA",37.5395201,-121.9519857
5,"2442 Abaca Way, Fremont, CA 94539, USA",37.5396221,-121.9519042
6,"4049 Abbey Terrace, Fremont, CA 94536, USA",37.5544183,-122.0008752
8,"4023 Abbey Terrace, Fremont, CA 94536, USA",37.5547333,-122.0008893
9,"3608 Wyndham Pl, Fremont, CA 94536, USA",37.5723628,-122.0274616
11,"35200 Abel Pl, Fremont, CA 94536, USA",37.5727013,-122.0272066
12,"43708 Abeloe Terrace, Fremont, CA 94539, USA",37.5256545,-121.918252
13,"43704 Abeloe Terrace, Fremont, CA 94539, USA",37.5257321,-121.9182544
15,"33874 Abercrombie Pl, Fremont, CA 94555, USA",37.5812347,-122.042304
17,"33873 Sylvester Dr, Fremont, CA 94555, USA",37.5815504,-122.0421264
18,"34153 Aberdeen Terrace, Fremont, CA 94555, USA",37.57755950000001,-122.0388271
19,"34183 Aberdeen Terrace, Fremont, CA 94555, USA",37.5777115,-122.0387251
20,"34193 Aberdeen Terrace, Fremont, CA 94555, USA",37.5777565,-122.0386791
21,"37917 Abraham St, Fremont, CA 94536, USA",37.5624721,-121.9925011
22,"37897 Abraham St, Fremont, CA 94536, USA",37.5625965,-121.9925234
24,"40889 Abuelo Way, Fremont, CA 94539, USA",37.5523082,-121.9412893
26,"40880 Abuelo Way, Fremont, CA 94539, USA",37.552616,-121.9408893
27,"1760 CA-84, Fremont, CA 94536, USA",37.5630135,-121.9852569
33,"399 Camphor Ave, Fremont, CA 94539, USA",37.4764469,-121.9175991
36,"171 Action Ct, Fremont, CA 94539, USA",37.4806376,-121.9235785
37,"174 Action Ct, Fremont, CA 94539, USA",37.480671,-121.923375
38,"156 Action Ct, Fremont, CA 94539, USA",37.4807751,-121.9232844
39,"4666 Theta St, Fremont, CA 94536, USA",37.554554,-122.0211269
40,"36714 Ada Ave, Fremont, CA 94536, USA",37.554637,-122.0210718
41,"36715 Theta Ct, Fremont, CA 94536, USA",37.5548238,-122.0208543
42,"4952 Adagio Ct, Fremont, CA 94538, USA",37.5214025,-121.9776938
44,"4953 Adagio Ct, Fremont, CA 94538, USA",37.521709,-121.9774049
45,"3955 Adams Ave, Fremont, CA 94538, USA",37.5298448,-121.9577873
46,"3939 Adams Ave, Fremont, CA 94538, USA",37.5298458,-121.9576418
47,"3957 Adams Ave, Fremont, CA 94538, USA",37.5300522,-121.9577973
48,"38750 Adcock Dr, Fremont, CA 94536, USA",37.565314,-121.9677292
49,"38740 Adcock Dr, Fremont, CA 94536, USA",37.5654504,-121.9677736
50,"38755 Moore Dr, Fremont, CA 94536, USA",37.565475,-121.9674129
51,"38625 Adcock Pl, Fremont, CA 94536, USA",37.5669119,-121.9695751
53,"38605 Adcock Pl, Fremont, CA 94536, USA",37.5671873,-121.9694587
54,"235 Lippert Ave, Fremont, CA 94539, USA",37.4821197,-121.9223027
55,"243 Lippert Ave, Fremont, CA 94539, USA",37.482201,-121.9221754
56,"251 Lippert Ave, Fremont, CA 94539, USA",37.4822545,-121.921948
57,"595 Bernal Common, Fremont, CA 94539, USA",37.5308426,-121.9269066
58,"571 Bernal Common, Fremont, CA 94539, USA",37.5308396,-121.926715
59,"572 Kell Common, Fremont, CA 94539, USA",37.5311328,-121.9266224
60,"598 Bernal Common, Fremont, CA 94539, USA",37.53056979999999,-121.9268423
61,"574 Bernal Common, Fremont, CA 94539, USA",37.5305948,-121.9266669
63,"1140 Adler Ct, Fremont, CA 94536, USA",37.5648397,-121.9784724
66,"35945 Adobe Dr, Fremont, CA 94536, USA",37.5590683,-122.0278396
68,"35950 Adobe Dr, Fremont, CA 94536, USA",37.5593306,-122.027594
69,"4252 Adriano Ct, Fremont, CA 94536, USA",37.566439,-122.0318249
71,"35285 Aquado Ct, Fremont, CA 94536, USA",37.5667331,-122.0315882
72,"4295 Adriano Ct, Fremont, CA 94536, USA",37.5663979,-122.0325797
73,"4281 Adriano Ct, Fremont, CA 94536, USA",37.56651350000001,-122.0323893
75,"34366 Agate Terrace, Fremont, CA 94555, USA",37.5640906,-122.0518303
76,"5050 Xavier Common, Fremont, CA 94555, USA",37.5641684,-122.0515834
78,"46810 Agave Ct, Fremont, CA 94539, USA",37.4947514,-121.9129761
81,"5616 Agnes Ct, Fremont, CA 94538, USA",37.515925,-121.9743414
83,"5613 Antone Rd, Fremont, CA 94538, USA",37.5161598,-121.9740827
84,"34673 Agree Terrace, Fremont, CA 94555, USA",37.5636538,-122.0479636
86,"34523 Pueblo Terrace, Fremont, CA 94555, USA",37.5638413,-122.0476542
87,"44793 Aguila Terrace, Fremont, CA 94539, USA",37.5152028,-121.9125909
88,"44783 Aguila Terrace, Fremont, CA 94539, USA",37.5153118,-121.9125889
89,"44799 Aguila Terrace, Fremont, CA 94539, USA",37.515313,-121.9122329
90,"34312 Aiken Ct, Fremont, CA 94555, USA",37.57294640000001,-122.0442798
92,"34311 Chester Ct, Fremont, CA 94555, USA",37.5731619,-122.0441244
93,"48949 Tree Fern Common, Fremont, CA 94539, USA",37.4623122,-121.9155359
94,"259 Bunch Grass Terrace, Fremont, CA 94539, USA",37.4625109,-121.9153165
96,"4644 Alameda Dr, Fremont, CA 94536, USA",37.5520939,-122.0151254
97,"4636 Alameda Dr, Fremont, CA 94536, USA",37.5522477,-122.0150396
98,"37099 Shasta St, Fremont, CA 94536, USA",37.5524219,-122.0149051
99,"5448 Alamo Terrace, Fremont, CA 94555, USA",37.5628998,-122.0598931
100,"5442 Alamo Terrace, Fremont, CA 94555, USA",37.5630128,-122.05976
