,Address,Latitude,Longitude
0,"14900 Baranga Ln, Saratoga, CA 95070, USA",37.2507177,-122.0164817
4,"14890 Baranga Ln, Saratoga, CA 95070, USA",37.2516085,-122.0157711
5,"18629 Abdulla Way, Saratoga, CA 95070, USA",37.2731064,-121.9978284
7,"14022 Abdulla Way, Saratoga, CA 95070, USA",37.2734122,-121.9973609
10,"12865 Glen Brae Dr, Saratoga, CA 95070, USA",37.2818296,-122.017703
13,"12889 Glen Brae Dr, Saratoga, CA 95070, USA",37.2819539,-122.0171035
14,"12858 Glen Brae Dr, Saratoga, CA 95070, USA",37.2825016,-122.0172811
15,"19747 Braemar Dr, Saratoga, CA 95070, USA",37.2720065,-122.0184358
17,"19725 Braemar Dr, Saratoga, CA 95070, USA",37.27218999999999,-122.0180139
19,"19705 Braemar Dr, Saratoga, CA 95070, USA",37.2724626,-122.0181694
25,"13957 Albar Ct, Saratoga, CA 95070, USA",37.2642992,-122.0604403
29,"13966 Albar Ct, Saratoga, CA 95070, USA",37.26506250000001,-122.059841
30,"18940 Alcott Way, Saratoga, CA 95070, USA",37.2682985,-122.0033573
32,"18920 Alcott Way, Saratoga, CA 95070, USA",37.268266,-122.0030908
33,"18929 Alcott Way, Saratoga, CA 95070, USA",37.2687642,-122.0032463
34,"18911 Alcott Way, Saratoga, CA 95070, USA",37.2686846,-122.0028243
35,"20213 Glen Brae Dr, Saratoga, CA 95070, USA",37.2735275,-122.0266071
37,"20196 Edinburgh Dr, Saratoga, CA 95070, USA",37.2738333,-122.0263407
39,"20178 Edinburgh Dr, Saratoga, CA 95070, USA",37.2738652,-122.0259854
40,"19000 Allendale Ave, Saratoga, CA 95070, USA",37.2679966,-122.0047342
42,"13755 Dolphin Dr, Saratoga, CA 95070, USA",37.2683196,-122.0042234
45,"14662 Aloha Ave, Saratoga, CA 95070, USA",37.2550527,-122.0304791
46,"14648 Aloha Ave, Saratoga, CA 95070, USA",37.2552154,-122.0302485
48,"14638 Aloha Ave, Saratoga, CA 95070, USA",37.2554193,-122.0300708
50,"15163 Alondra Ln, Saratoga, CA 95070, USA",37.2479494,-122.0144388
53,"15131 Alondra Ln, Saratoga, CA 95070, USA",37.2484809,-122.0141723
